delivery_id,order_id,shipped_date,delivered_date,status
1,1,2024-07-21,2025-04-03,Delayed
2,2,2025-07-09,2026-01-28,Delivered
3,3,2025-08-06,2026-01-22,Lost
4,4,2025-07-13,2026-01-16,Delivered
5,5,2025-11-05,2025-11-17,Lost
6,6,2025-10-20,2025-12-02,Lost
7,7,2024-09-08,2024-12-15,Delayed
8,8,2025-06-20,2025-12-12,Delayed
9,9,2025-02-24,2025-03-25,Delivered
10,10,2025-08-12,2025-10-21,Delayed
11,11,2026-01-21,2026-02-19,Delayed
12,12,2024-10-09,2025-08-17,Delivered
13,13,2024-11-01,2025-10-09,Delivered
14,14,2025-03-01,2025-05-30,Lost
15,15,2026-02-12,2026-02-21,Lost
16,16,2024-12-17,2025-12-03,Delivered
17,17,2025-09-15,2026-01-18,Lost
18,18,2025-06-22,2025-07-14,Lost
19,19,2025-03-21,2025-11-25,Delivered
20,20,2024-08-13,2025-10-21,Delivered
21,21,2024-05-18,2025-04-28,Delivered
22,22,2025-06-15,2025-09-02,Delayed
23,23,2026-02-11,2026-02-18,Delayed
24,24,2024-03-16,2024-10-10,Delivered
25,25,2025-05-21,2025-12-14,Delayed
26,26,2025-01-29,2026-01-12,Delayed
27,27,2024-05-18,2026-01-02,Delivered
28,28,2024-04-06,2025-05-24,Lost
29,29,2024-12-13,2025-04-10,Delayed
30,30,2024-06-06,2024-11-12,Lost
31,31,2024-07-25,2025-05-16,Delayed
32,32,2025-02-07,2025-05-12,Delivered
33,33,2026-01-30,2026-02-13,Delivered
34,34,2024-08-04,2025-03-01,Lost
35,35,2025-10-26,2025-11-09,Delayed
36,36,2025-01-05,2025-02-03,Delivered
37,37,2025-01-25,2025-07-20,Lost
38,38,2026-01-07,2026-02-09,Delivered
39,39,2024-08-01,2025-04-09,Lost
40,40,2025-01-14,2025-11-12,Delayed
41,41,2024-11-16,2025-08-19,Delivered
42,42,2025-02-20,2025-08-03,Lost
43,43,2025-07-31,2026-02-06,Delayed
44,44,2024-06-08,2024-11-02,Delayed
45,45,2024-12-15,2025-10-23,Lost
46,46,2025-11-22,2026-01-05,Lost
47,47,2024-12-30,2025-07-18,Delayed
48,48,2025-05-18,2026-02-14,Delivered
49,49,2026-02-07,2026-02-20,Delivered
50,50,2025-06-07,2025-09-17,Lost
51,51,2026-01-21,2026-02-03,Delayed
52,52,2025-09-15,2025-09-30,Delayed
53,53,2025-02-24,2025-05-08,Lost
54,54,2024-11-09,2025-10-06,Lost
55,55,2025-10-03,2025-11-30,Delayed
56,56,2024-05-26,2025-12-20,Lost
57,57,2025-06-02,2025-08-12,Delivered
58,58,2024-10-21,2026-02-08,Delivered
59,59,2024-07-24,2024-09-10,Lost
60,60,2026-02-11,2026-02-13,Lost
61,61,2025-02-16,2025-09-30,Delayed
62,62,2025-06-26,2025-11-25,Lost
63,63,2025-01-12,2025-05-02,Delayed
64,64,2025-12-12,2026-02-16,Delivered
65,65,2024-06-15,2025-06-28,Delivered
66,66,2025-04-01,2025-05-26,Delivered
67,67,2024-10-03,2024-11-09,Delayed
68,68,2024-03-13,2025-01-11,Delayed
69,69,2025-02-01,2025-05-23,Lost
70,70,2025-01-11,2025-06-27,Delayed
71,71,2024-09-28,2025-05-10,Delayed
72,72,2024-03-06,2024-04-09,Lost
73,73,2024-12-15,2025-12-15,Lost
74,74,2025-03-15,2026-01-21,Delayed
75,75,2025-09-05,2025-11-29,Delivered
76,76,2024-10-21,2025-06-05,Delivered
77,77,2024-04-16,2025-06-15,Delivered
78,78,2024-03-06,2024-06-28,Delivered
79,79,2026-01-15,2026-02-25,Delayed
80,80,2025-04-01,2025-09-07,Lost
81,81,2025-04-19,2026-02-09,Delayed
82,82,2024-09-23,2025-05-12,Lost
83,83,2025-06-26,2025-11-04,Lost
84,84,2024-05-25,2026-02-26,Lost
85,85,2025-04-22,2025-12-28,Delivered
86,86,2025-07-05,2025-12-07,Delayed
87,87,2025-04-03,2025-08-13,Delivered
88,88,2025-04-21,2025-07-26,Lost
89,89,2025-05-19,2025-10-12,Delivered
90,90,2025-08-15,2025-09-19,Lost
91,91,2024-10-14,2024-12-13,Delayed
92,92,2025-11-28,2025-12-07,Delayed
93,93,2025-06-07,2025-10-15,Delayed
94,94,2025-05-29,2025-08-29,Delayed
95,95,2025-08-21,2026-01-14,Delivered
96,96,2024-07-10,2025-05-12,Delayed
97,97,2025-08-11,2026-01-04,Lost
98,98,2024-03-08,2025-06-08,Delayed
99,99,2024-03-17,2024-08-19,Delivered
100,100,2026-01-03,2026-02-04,Lost
