inv_id,product_id,stock_in,stock_out,updated_at
1,420,10,24,2024-12-19
2,488,22,18,2025-11-30
3,83,26,37,2025-11-17
4,178,37,49,2025-03-02
5,280,15,49,2025-08-25
6,313,22,35,2024-09-13
7,336,1,27,2025-08-09
8,165,32,20,2024-06-21
9,34,17,36,2024-06-26
10,196,33,26,2024-11-13
11,489,23,31,2024-10-30
12,49,43,17,2024-04-15
13,134,32,19,2025-01-12
14,351,4,12,2024-09-05
15,67,35,48,2025-11-03
16,334,34,46,2025-04-05
17,421,24,35,2024-06-06
18,223,16,19,2026-01-29
19,462,14,37,2025-04-09
20,298,27,2,2024-09-27
21,52,33,10,2025-07-07
22,282,14,13,2025-02-08
23,137,33,41,2024-12-21
24,493,27,33,2025-09-17
25,175,8,31,2025-09-24
26,346,34,27,2025-03-10
27,45,1,20,2024-03-08
28,454,16,40,2024-07-24
29,134,15,37,2024-04-04
30,115,11,16,2024-11-05
31,357,16,3,2025-03-05
32,24,23,40,2026-02-04
33,113,43,8,2024-05-24
34,343,6,37,2025-07-11
35,463,27,32,2024-12-13
36,435,17,29,2025-01-13
37,142,31,7,2025-09-07
38,128,46,26,2025-11-12
39,462,19,40,2025-02-17
40,23,19,15,2025-09-21
41,475,45,0,2024-06-18
42,464,32,41,2025-09-30
43,238,5,47,2024-11-21
44,224,2,23,2024-06-20
45,415,7,5,2025-07-17
46,396,6,33,2024-07-19
47,457,4,24,2025-12-30
48,345,47,21,2024-09-26
49,417,3,37,2024-10-31
50,494,6,46,2025-11-27
51,441,15,44,2024-04-02
52,276,48,2,2025-03-07
53,214,35,11,2024-09-23
54,6,3,15,2025-03-05
55,47,30,48,2024-11-09
56,270,16,11,2025-07-07
57,455,24,9,2024-10-04
58,496,33,46,2025-08-16
59,53,39,48,2026-02-16
60,175,10,25,2025-12-20
61,172,27,25,2024-04-25
62,211,32,9,2025-03-13
63,285,3,4,2024-04-08
64,440,19,47,2024-04-15
65,303,8,43,2025-01-12
66,494,4,44,2024-12-02
67,319,48,36,2025-11-05
68,218,5,28,2025-05-12
69,131,42,46,2025-11-25
70,3,36,19,2025-10-11
71,329,13,42,2024-09-30
72,351,22,16,2025-05-20
73,251,36,4,2025-09-11
74,361,45,32,2025-09-13
75,133,13,9,2024-11-11
76,181,39,11,2025-02-09
77,176,5,38,2024-10-31
78,433,25,50,2026-02-16
79,415,20,17,2025-01-17
80,234,1,24,2025-02-10
81,154,3,32,2026-01-09
82,146,9,24,2024-07-03
83,215,20,9,2025-03-05
84,104,49,50,2025-09-26
85,96,27,38,2025-09-24
86,311,28,29,2025-02-15
87,373,23,2,2024-03-18
88,183,49,7,2025-05-25
89,306,43,43,2025-04-19
90,140,28,16,2025-06-14
