order_item_id,order_id,product_id,quantity,item_price,discount,profit
1,1,321,1,72620,10,2967
2,1,328,2,6324,50,2334
3,1,160,3,19678,100,14052
4,1,122,2,44703,100,1268
5,2,131,2,47516,50,74
6,2,345,3,60168,10,13227
7,3,363,3,37842,10,7803
8,4,161,1,54849,50,534
9,4,466,3,24372,10,6990
10,4,50,2,11441,0,5194
11,5,277,3,25129,100,5901
12,5,142,1,3230,10,549
13,5,439,3,47902,100,9354
14,5,206,2,7353,10,5064
15,6,159,3,60936,10,11610
16,6,127,2,40302,100,7386
17,6,475,2,9999,100,3468
18,6,437,3,32483,10,2619
19,7,230,3,64359,50,10632
20,7,463,1,58999,100,4580
21,7,159,2,60936,50,7740
22,7,314,2,332,50,1806
23,8,287,3,52975,0,10692
24,8,35,2,66927,10,864
25,8,286,2,3459,50,1752
26,9,131,1,47516,100,37
27,9,217,1,9621,50,4950
28,9,406,1,36169,50,542
29,10,33,1,11669,10,642
30,11,229,1,7171,100,3205
31,11,200,2,18125,10,2486
32,11,241,1,43474,50,3384
33,11,283,1,12009,100,4692
34,12,197,1,77459,0,3648
35,13,466,3,24372,0,6990
36,13,140,3,3840,0,3993
37,13,184,2,2388,50,1722
38,14,492,1,1885,100,1473
39,15,327,3,28076,50,5898
40,15,364,1,72794,100,1511
41,15,88,3,76838,100,11397
42,16,166,3,76967,50,603
43,16,26,3,38860,100,2049
44,17,358,1,23313,100,4927
45,17,250,1,70529,10,947
46,17,378,1,31090,50,3529
47,17,204,3,72373,10,14316
48,18,269,3,37810,50,894
49,18,246,3,11051,50,8964
50,18,221,1,35804,100,522
51,18,338,2,4377,10,1432
52,19,364,2,72794,50,3022
53,20,134,1,51435,10,241
54,20,238,3,16582,0,10653
55,21,101,2,45779,10,9902
56,22,342,2,59740,100,1996
57,23,356,3,39851,0,10920
58,23,203,1,12181,10,2395
59,24,476,1,16297,10,2958
60,24,195,1,76580,50,2944
61,25,464,1,74889,0,490
62,25,344,3,2739,10,6975
63,25,312,3,18939,0,5577
64,26,163,3,44396,10,5520
65,26,49,3,29288,10,4161
66,26,363,2,37842,10,5202
67,26,497,3,53714,100,4599
68,27,101,3,45779,50,14853
69,27,413,2,72677,50,128
70,28,296,3,446,10,9927
71,28,243,2,24981,100,666
72,28,69,1,20879,50,1085
73,29,276,2,4664,50,1440
74,30,75,3,46398,50,13923
75,30,285,3,1221,100,14265
76,31,12,2,75075,50,9580
77,32,206,2,7353,10,5064
78,33,270,1,24441,50,4942
79,33,432,2,68812,10,6380
80,33,409,3,73976,100,2829
81,33,167,2,41471,100,1596
82,34,243,2,24981,0,666
83,34,314,3,332,100,2709
84,34,180,1,67872,100,3845
85,35,328,1,6324,0,1167
86,35,78,3,9944,100,3786
87,35,50,3,11441,10,7791
88,36,375,3,7767,10,7224
89,36,310,2,41811,10,4146
90,36,29,2,57705,0,1614
91,37,439,2,47902,10,6236
92,38,148,1,69418,50,3407
93,38,317,3,40672,10,6690
94,38,209,2,40875,10,430
95,38,9,3,25572,100,8766
96,39,75,2,46398,100,9282
97,40,327,1,28076,10,1966
98,40,134,3,51435,100,723
99,40,424,3,44890,10,8370
100,40,239,3,47967,10,1329
101,41,307,2,45366,50,7394
102,41,324,2,47739,10,9416
103,41,462,1,79833,50,900
104,41,417,1,67676,10,2437
105,42,211,3,59703,100,2895
106,42,317,1,40672,100,2230
107,43,471,1,67381,50,2263
108,44,462,2,79833,0,1800
109,44,56,1,17094,0,806
110,44,394,3,62037,100,12861
111,44,398,3,11551,10,8664
112,45,154,2,71748,10,3536
113,46,474,1,55327,0,1014
114,46,443,3,474,10,11121
115,47,450,3,19745,50,8235
116,47,367,1,38212,10,4517
117,48,337,1,7164,100,4005
118,48,323,3,4250,50,11241
119,48,126,1,58277,50,3907
120,49,307,1,45366,10,3697
121,49,412,1,39720,0,3662
122,49,116,1,22774,50,115
123,50,104,3,59618,50,5070
124,50,363,2,37842,100,5202
125,50,320,1,52659,100,3622
126,50,74,3,19268,10,4380
127,51,134,2,51435,0,482
128,51,117,3,61385,50,13227
129,51,47,1,14663,10,3177
130,51,57,2,41660,100,2976
131,52,388,3,53489,50,4296
132,52,178,2,62462,50,7618
133,52,309,2,33606,0,8774
134,53,426,3,2946,10,663
135,54,124,3,50581,100,5061
136,55,201,1,29953,50,2658
137,55,491,3,9835,100,10017
138,55,226,3,44486,10,12930
139,56,468,1,7157,50,4413
140,56,362,3,46821,100,6408
141,57,323,2,4250,0,7494
142,57,23,2,76626,50,936
143,57,288,1,12989,50,1065
144,58,204,3,72373,0,14316
145,59,56,3,17094,0,2418
146,59,447,3,20312,10,5904
147,59,456,1,53220,0,3542
148,60,283,1,12009,10,4692
149,60,497,1,53714,50,1533
150,60,160,3,19678,10,14052
151,60,146,3,72976,0,1146
152,61,267,3,31880,100,13848
153,62,93,3,2103,10,9645
154,62,143,1,63843,50,1001
155,62,311,3,1219,10,13206
156,63,288,1,12989,0,1065
157,63,386,3,32671,10,8793
158,63,62,2,69791,50,6478
159,63,21,1,22004,50,1584
160,64,487,1,7278,50,3568
161,65,477,1,16369,50,4506
162,65,214,3,75747,100,12705
163,66,102,1,19417,0,1138
164,66,145,1,3154,0,1818
165,66,96,1,25946,0,1112
166,67,388,3,53489,100,4296
167,67,450,2,19745,0,5490
168,68,65,1,79888,10,411
169,69,413,2,72677,100,128
170,69,453,3,76146,10,9159
171,69,71,3,21247,0,2709
172,70,63,1,68851,100,3538
173,70,321,3,72620,10,8901
174,70,242,3,36270,10,4392
175,70,435,3,50913,50,14268
176,71,24,2,74486,0,7982
177,71,92,3,56890,100,10770
178,71,375,1,7767,50,2408
179,72,483,3,1889,0,4881
180,72,129,1,9978,50,305
181,72,31,2,69623,0,5116
182,73,436,1,71154,100,834
183,74,483,3,1889,100,4881
184,74,119,1,32721,50,3189
185,75,476,1,16297,50,2958
186,75,444,2,40663,50,2278
187,75,279,1,61527,50,1735
188,76,192,2,52945,100,272
189,76,232,1,60489,0,4199
190,76,151,2,56287,0,9652
191,76,395,1,34858,100,428
192,77,113,3,58168,10,13329
193,77,109,2,57427,100,6722
194,77,6,2,9823,100,3818
195,78,466,2,24372,50,4660
196,79,92,1,56890,0,3590
197,79,301,1,1193,100,2479
198,79,67,3,49818,10,6045
199,79,34,1,33113,50,4422
200,80,263,2,47082,0,5966
201,80,340,3,45929,50,9732
202,80,332,2,56244,10,4982
203,80,221,3,35804,10,1566
204,81,156,3,63367,0,174
205,82,230,2,64359,50,7088
206,83,473,1,76082,100,771
207,83,17,1,69537,10,3234
208,83,354,2,76997,50,4508
209,83,361,3,26513,100,12486
210,84,10,3,37199,50,10485
211,84,172,2,57001,10,5426
212,85,182,1,66933,100,90
213,85,12,1,75075,0,4790
214,85,97,3,1621,0,7878
215,85,193,1,29359,10,71
216,86,285,1,1221,50,4755
217,86,61,3,1837,100,2409
218,87,453,2,76146,0,6106
219,87,362,1,46821,10,2136
220,87,62,3,69791,100,9717
221,88,186,1,23225,10,3047
222,88,363,1,37842,100,2601
223,89,455,2,26401,0,1512
224,89,490,3,38796,50,5322
225,89,153,1,7361,50,1152
226,89,495,1,21610,50,4516
227,90,12,2,75075,100,9580
228,90,168,1,51377,10,3737
229,90,388,2,53489,100,2864
230,91,329,3,59230,0,249
231,92,345,2,60168,100,8818
232,92,323,2,4250,100,7494
233,92,429,2,19619,100,2430
234,93,416,1,78244,10,1205
235,93,451,1,50983,0,1817
236,94,151,1,56287,50,4826
237,94,398,3,11551,0,8664
238,94,279,2,61527,10,3470
239,94,445,2,71865,50,2834
240,95,282,2,62998,100,7994
241,95,2,3,833,100,6900
242,95,493,3,26945,100,279
243,96,204,3,72373,0,14316
244,96,155,3,25518,0,12444
245,97,125,1,16761,100,1243
246,97,485,3,28835,50,9744
247,97,121,2,15455,100,6218
248,98,29,3,57705,0,2421
249,98,433,3,60397,50,5736
250,98,308,3,54254,50,2358
251,98,141,3,57429,100,9411
252,99,438,2,57777,0,7094
253,99,497,3,53714,50,4599
254,100,483,1,1889,10,1627
255,101,360,2,11368,100,4150
256,101,50,1,11441,100,2597
257,102,398,1,11551,50,2888
258,102,203,2,12181,10,4790
259,103,200,1,18125,100,1243
260,103,95,1,76968,50,1313
261,103,368,1,46933,10,1050
262,104,69,3,20879,50,3255
263,104,463,1,58999,50,4580
264,104,211,2,59703,100,1930
265,104,322,1,4778,100,4253
266,105,275,3,72657,100,8730
267,105,448,1,50727,0,2371
268,105,57,3,41660,10,4464
269,106,264,3,23057,100,3618
270,106,147,1,75826,0,1731
271,107,362,1,46821,10,2136
272,108,287,3,52975,10,10692
273,108,145,1,3154,0,1818
274,108,149,2,36967,0,7252
275,108,320,2,52659,50,7244
276,109,427,1,52058,10,650
277,109,415,2,38125,0,500
278,109,345,3,60168,0,13227
279,110,165,1,47506,10,1913
280,110,367,1,38212,50,4517
281,111,284,1,42166,100,1131
282,111,299,1,53620,50,1682
283,112,373,3,29522,100,9111
284,113,289,3,13979,0,9186
285,114,304,2,25679,10,4600
286,114,28,2,77154,10,7344
287,114,468,2,7157,50,8826
288,114,170,2,68374,50,6352
289,115,268,2,50050,100,984
290,116,482,1,51513,100,1794
291,117,2,3,833,10,6900
292,118,169,2,31552,50,7378
293,118,458,1,29011,0,4316
294,118,225,2,937,0,6386
295,118,56,3,17094,100,2418
296,119,500,2,55236,50,1656
297,120,429,1,19619,50,1215
298,121,283,3,12009,0,14076
299,121,7,2,32122,0,5136
300,121,134,2,51435,50,482
301,122,418,1,76359,0,2728
302,122,45,1,59830,100,4787
303,122,305,3,2792,0,14784
304,123,25,3,24148,0,4068
305,123,336,3,40112,50,3132
306,124,100,1,22658,50,3772
307,124,36,1,62857,0,4523
308,124,290,1,78838,0,1502
309,125,429,2,19619,100,2430
310,126,310,2,41811,10,4146
311,126,216,1,36838,0,4091
312,127,60,1,66102,0,1262
313,127,392,3,18366,100,6324
314,128,157,3,10062,0,3450
315,129,275,1,72657,10,2910
316,130,160,1,19678,0,4684
317,131,168,1,51377,50,3737
318,132,109,2,57427,100,6722
319,133,468,1,7157,10,4413
320,134,92,1,56890,10,3590
321,134,266,2,17143,0,8928
322,134,113,3,58168,10,13329
323,134,255,2,71416,100,8178
324,135,179,3,17426,0,6234
325,135,338,1,4377,50,716
326,136,370,3,22124,10,3696
327,136,419,1,30608,0,3641
328,136,198,1,72380,50,4318
329,137,228,1,79402,0,4227
330,138,150,1,29447,0,4986
331,138,298,1,22553,0,1999
332,139,414,3,40638,100,5622
333,139,325,3,36530,0,6336
334,139,101,3,45779,0,14853
335,139,193,1,29359,50,71
336,140,251,3,2283,50,13299
337,140,469,3,20461,50,5787
338,140,1,1,69585,0,4755
339,141,15,3,49915,100,3945
340,142,161,1,54849,0,534
341,142,268,2,50050,100,984
342,143,317,2,40672,50,4460
343,143,205,2,36496,0,8054
344,143,94,2,22759,100,8474
345,143,361,1,26513,0,4162
346,144,327,3,28076,100,5898
347,144,28,3,77154,100,11016
348,145,145,3,3154,10,5454
349,145,419,2,30608,0,7282
350,145,201,1,29953,100,2658
351,146,490,1,38796,100,1774
352,146,167,3,41471,100,2394
353,146,289,3,13979,100,9186
354,146,328,1,6324,0,1167
355,147,155,3,25518,0,12444
356,147,285,2,1221,0,9510
357,147,414,1,40638,0,1874
358,147,105,3,24573,50,12993
