order_id,customer_id,order_date,order_status,payment_method,total_amount
1,214,2025-05-16,Returned,Credit Card,233448
2,1864,2024-05-09,Cancelled,COD,275476
3,1211,2025-03-12,Delivered,NetBanking,113516
4,1448,2024-11-25,Returned,Credit Card,150787
5,1200,2025-12-13,Shipped,NetBanking,236809
6,334,2026-02-15,Cancelled,Credit Card,380639
7,347,2024-05-14,Delivered,COD,374362
8,954,2025-10-05,Delivered,NetBanking,299637
9,1077,2024-06-24,Delivered,UPI,93106
10,1326,2024-05-29,Cancelled,NetBanking,11659
11,17,2024-06-05,Returned,Credit Card,98644
12,971,2025-11-02,Shipped,UPI,77459
13,1207,2025-09-14,Cancelled,Credit Card,89362
14,1889,2025-12-13,Cancelled,Credit Card,1785
15,869,2026-01-29,Shipped,Credit Card,387286
16,630,2025-06-02,Shipped,Credit Card,347331
17,1802,2026-01-28,Returned,UPI,341881
18,842,2025-03-16,Delivered,Credit Card,190931
19,1085,2025-03-12,Cancelled,UPI,145538
20,1498,2025-04-25,Cancelled,Credit Card,101171
21,1198,2024-03-28,Delivered,NetBanking,91548
22,1552,2025-02-17,Shipped,Credit Card,119380
23,298,2024-08-29,Delivered,Credit Card,131724
24,1455,2025-07-15,Shipped,UPI,92817
25,544,2025-05-03,Cancelled,Credit Card,139913
26,7,2025-02-19,Cancelled,Credit Card,457748
27,830,2025-05-10,Returned,UPI,282591
28,832,2024-03-23,Returned,UPI,72019
29,1295,2026-01-18,Cancelled,COD,9278
30,1024,2024-07-09,Shipped,UPI,142707
31,594,2025-08-03,Cancelled,NetBanking,150100
32,799,2024-05-03,Cancelled,UPI,14696
33,272,2024-11-22,Shipped,UPI,466675
34,58,2024-10-08,Delivered,UPI,118630
35,190,2024-10-23,Cancelled,COD,70369
36,336,2024-12-28,Delivered,NetBanking,222313
37,1763,2025-02-02,Cancelled,Credit Card,95794
38,639,2025-12-24,Delivered,COD,349730
39,92,2024-04-07,Returned,COD,92696
40,1570,2024-05-22,Delivered,UPI,460822
41,932,2026-01-08,Returned,UPI,333599
42,1165,2026-01-26,Delivered,UPI,219581
43,1312,2026-01-07,Returned,COD,67331
44,1052,2024-03-16,Returned,UPI,397414
45,1743,2024-05-01,Cancelled,UPI,143486
46,1879,2025-04-29,Returned,NetBanking,56739
47,594,2025-07-22,Cancelled,NetBanking,97387
48,879,2025-08-05,Delivered,COD,77991
49,535,2025-01-16,Shipped,COD,107800
50,420,2026-02-11,Cancelled,UPI,364741
51,507,2026-01-02,Shipped,Credit Card,384848
52,1839,2025-04-16,Cancelled,UPI,352503
53,494,2024-05-23,Shipped,NetBanking,8828
54,207,2025-05-02,Delivered,NetBanking,151643
55,1829,2025-11-27,Shipped,COD,192756
56,330,2025-10-06,Returned,COD,147470
57,806,2025-02-13,Cancelled,COD,174641
58,718,2025-03-29,Returned,COD,217119
59,88,2024-05-12,Returned,NetBanking,165428
60,620,2024-02-28,Delivered,COD,343615
61,686,2025-10-12,Delivered,NetBanking,95540
62,316,2024-10-28,Delivered,COD,73739
63,1840,2024-05-30,Cancelled,COD,272478
64,1349,2025-05-21,Returned,UPI,7228
65,1019,2024-10-22,Cancelled,NetBanking,243460
66,265,2025-04-19,Delivered,Credit Card,48517
67,1338,2025-06-01,Delivered,Credit Card,199857
68,677,2024-11-17,Returned,COD,79878
69,776,2025-08-29,Delivered,NetBanking,437423
70,1996,2024-09-09,Returned,COD,548090
71,1927,2024-07-04,Cancelled,COD,327259
72,980,2025-05-02,Delivered,UPI,154841
73,1438,2025-09-09,Shipped,COD,71054
74,1772,2025-09-19,Delivered,COD,38238
75,1035,2024-08-06,Delivered,Credit Card,159000
76,1574,2024-03-11,Cancelled,Credit Card,313611
77,768,2026-02-13,Returned,COD,308794
78,1100,2024-06-12,Cancelled,COD,48694
79,834,2024-03-15,Delivered,NetBanking,240490
80,1238,2025-05-23,Shipped,NetBanking,451781
81,429,2025-02-20,Delivered,UPI,190101
82,865,2024-10-24,Cancelled,NetBanking,128668
83,1009,2025-06-20,Delivered,UPI,378892
84,1297,2024-12-17,Returned,Credit Card,225539
85,1490,2026-02-07,Shipped,COD,176120
86,610,2024-03-28,Returned,Credit Card,6582
87,85,2026-02-19,Shipped,Credit Card,408376
